stop_id,stop_name,route_name,latitude,longitude
IDFM:24413,Porte d'Aubervilliers,T3b,48.89864071936045,2.368890634791775
IDFM:490876,Porte Dauphine (Avenue Foch),T3b,48.87034441363534,2.2746344140069596
IDFM:490878,Porte Dauphine (Avenue Foch),T3b,48.87037296112415,2.274893044078303
IDFM:24414,Porte de Bagnolet,T3b,48.86338431754405,2.408875014954352
IDFM:24419,Porte de Bagnolet,T3b,48.86340176471023,2.408765768865789
IDFM:490890,Porte de Champerret,T3b,48.88597096158269,2.291994963614582
IDFM:490895,Porte de Champerret,T3b,48.886017778774274,2.2923079803797872
IDFM:462429,Porte de Clichy - Tribunal de Paris,T3b,48.89459051151927,2.314314444573612
IDFM:462441,Porte de Clichy - Tribunal de Paris,T3b,48.894688648692544,2.3141767587052646
IDFM:462414,Porte de Clignancourt,T3b,48.89807207348968,2.3450545241806258
IDFM:462431,Porte de Clignancourt,T3b,48.89799143877971,2.3451100992447147
IDFM:412987,Porte de la Chapelle,T3b,48.898441034062756,2.3583900631505386
IDFM:412988,Porte de la Chapelle,T3b,48.89834248111346,2.358459478922367
IDFM:24399,Porte de la Villette (Cité des Sciences et de l'industrie),T3b,48.89749095730542,2.3864592292211495
IDFM:29379,Porte de la Villette (Cité des Sciences et de l'industrie),T3b,48.89741922608639,2.3865009944320703
IDFM:24406,Porte de Montreuil,T3b,48.85299747973053,2.410819038635312
IDFM:24408,Porte de Montreuil,T3b,48.85298774851907,2.4106692374948193
IDFM:24403,Porte de Pantin - Parc de la Villette,T3b,48.889029830075266,2.3955871164568054
IDFM:24423,Porte de Pantin - Parc de la Villette,T3b,48.88905763403042,2.3957504466943305
IDFM:462436,Porte de Saint-Ouen,T3b,48.89771656108591,2.3295638459854024
IDFM:462446,Porte de Saint-Ouen,T3b,48.897610253568644,2.3298516567126035
IDFM:24409,Porte des Lilas,T3b,48.87667570207763,2.406897140162137
IDFM:24415,Porte des Lilas,T3b,48.876721408971456,2.407046599200534
IDFM:24396,Porte de Vincennes,T3b,48.84742462692587,2.4096283755134005
IDFM:26534,Porte de Vincennes,T3b,48.847325703571016,2.4096294961774425
IDFM:490882,Porte Maillot - Palais des Congrès,T3b,48.87791043686484,2.2840189957912593
IDFM:490892,Porte Maillot - Palais des Congrès,T3b,48.87790872414125,2.2837326845388546
IDFM:24530,Rosa Parks,T3b,48.89760308551223,2.373377140155362
IDFM:24531,Rosa Parks,T3b,48.89750423836571,2.3733919699097723
IDFM:24397,Séverine,T3b,48.86748527523941,2.4088693750122006
IDFM:24400,Séverine,T3b,48.86749500857692,2.4090192175057994
IDFM:490893,Square Sainte-Odile,T3b,48.887552645935415,2.296378369884052
IDFM:490896,Square Sainte-Odile,T3b,48.88742931300661,2.2968164352852605
IDFM:490887,Thérèse Pierre,T3b,48.88352922906449,2.288196318046833
IDFM:490889,Thérèse Pierre,T3b,48.88369263626842,2.288453177914627
IDFM:471757,Allée de la Tour-Rendez-vous,T4,48.89729093774296,2.5066422337264713
IDFM:472172,Allée de la Tour-Rendez-vous,T4,48.89735360569665,2.5065734409130265
IDFM:478646,Arboretum,T4,48.897963837074215,2.5617274917506396
IDFM:478651,Arboretum,T4,48.89789189520736,2.56172809739115
IDFM:472147,Aulnay-sous-Bois,T4,48.93198132034067,2.496963789365468
IDFM:472363,Aulnay-sous-Bois,T4,48.931897866512266,2.4963640466453203
IDFM:471982,Bondy,T4,48.893824310177635,2.482193298612344
IDFM:479491,Bondy,T4,48.893751955637946,2.482098546104649
IDFM:478661,Clichy - Montfermeil,T4,48.904611980150186,2.555041681454517
IDFM:478664,Clichy - Montfermeil,T4,48.90454003875491,2.5550422964124544
IDFM:477286,Clichy-sous-Bois - Mairie,T4,48.907834726341605,2.5463238657809555
IDFM:478663,Clichy-sous-Bois - Mairie,T4,48.907880051184826,2.5464189682631786
IDFM:472197,Freinville Sevran,T4,48.926496496259446,2.5190574106987182
IDFM:472316,Freinville Sevran,T4,48.92651491932228,2.519166419761055
IDFM:471825,Gargan,T4,48.9072679973711,2.5163974669176747
IDFM:472211,Gargan,T4,48.90725017733822,2.5164385595960947
IDFM:472857,Gargan,T4,48.90721464734951,2.516548028569006
IDFM:478656,Hôpital de Montfermeil,T4,48.90090084796803,2.570637395661968
IDFM:478660,Hôpital de Montfermeil,T4,48.900946202680906,2.570746146903078
IDFM:472077,L'Abbaye,T4,48.92180048027322,2.516385223304965
IDFM:472657,L'Abbaye,T4,48.92182707221902,2.5162894528120816
IDFM:478653,Léon Blum,T4,48.90854532457516,2.532333917960648
IDFM:478658,Léon Blum,T4,48.90847306396708,2.5322527111714215
IDFM:471005,Les Coquetiers,T4,48.89263088858735,2.4997443661584247
IDFM:471008,Les Coquetiers,T4,48.89256822428643,2.499813160951303
IDFM:471878,Les Pavillons-sous-Bois,T4,48.90270828680124,2.511897313188358
